Source_Site_Code,Source_Site_City,Product Code,Product variant,Unit_Value_EUR,Source_Inventory_UoM,Source_Inventory_Value_EUR,Receiver_Site_Code,Receiver_Site_City,Receiver_Annual_Demand,Receiver_Average_Monthly_Demand,Receiver_Current_Inventory,Receiver_Target_Inventory,Receiver_MOS,Receiver_Target_Gap_UoM,Receiver_Transfer_Capacity_UoM,Potential_Receiver
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Jacket_J2_Winter,J2_Winter,12,479,5748,WH_Germany_Kassel_Hub,Kassel,3337,278.0833333333333,672,834.25,2.146538807311957,162.25,162,True
WH_Germany_Berlin_Charlottenburg,Berlin,Pants_P1_Performance,P1_Performance,12,458,5496,WH_Germany_Hamburg_Harburg,Hamburg,1490,124.16666666666667,362,372.5,3.2322147651006707,10.5,10,True
WH_Germany_Berlin_Charlottenburg,Berlin,Pants_P1_Performance,P1_Performance,12,458,5496,WH_Germany_Kassel_Hub,Kassel,1939,161.58333333333334,482,484.75,2.6487880350696233,2.75,2,True
WH_Germany_Munich_Maxvorstadt,Munich,Pants_P3_Beach,P3_Beach,8,507,4056,WH_Germany_Berlin_Charlottenburg,Berlin,2183,181.91666666666666,481,545.75,2.749885478699038,64.75,64,True
WH_Germany_Munich_Maxvorstadt,Munich,Pants_P3_Beach,P3_Beach,8,507,4056,WH_Germany_Kassel_Hub,Kassel,2292,191.0,526,573.0,2.4572425828970332,47.0,47,True
WH_Germany_Kassel_Hub,Kassel,Shirt_TS1_Casual,TS1_Casual,10,532,5320,WH_Germany_Hamburg_Harburg,Hamburg,3059,254.91666666666666,730,764.75,2.770513239620791,34.75,34,True
WH_Germany_Kassel_Hub,Kassel,Shirt_TS3_Luxury,TS3_Luxury,6,601,3606,WH_Germany_Berlin_Charlottenburg,Berlin,1727,143.91666666666666,378,431.75,2.940359004053272,53.75,53,True
WH_Germany_Hamburg_Harburg,Hamburg,Shoes_S3_Summer24,S3_Summer24,30,719,21570,WH_Germany_Kassel_Hub,Kassel,4675,389.5833333333333,823,1168.75,2.04,345.75,345,True
WH_Germany_Hamburg_Harburg,Hamburg,Shoes_S3_Summer24,S3_Summer24,30,719,21570,WH_Germany_Munich_Maxvorstadt,Munich,2968,247.33333333333334,488,742.0,2.2382075471698113,254.0,254,True
WH_Germany_Munich_Maxvorstadt,Munich,Hat_H2_SpecialLine,H2_SpecialLine,4,424,1696,WH_Germany_Berlin_Charlottenburg,Berlin,1104,92.0,580,276.0,6.1603260869565215,0.0,0,False
WH_Germany_Munich_Maxvorstadt,Munich,Hat_H2_SpecialLine,H2_SpecialLine,4,424,1696,WH_Germany_Frankfurt_FFM-Süd,Frankfurt,667,55.583333333333336,381,166.75,6.071964017991005,0.0,0,False
WH_Germany_Munich_Maxvorstadt,Munich,Hat_H2_SpecialLine,H2_SpecialLine,4,424,1696,WH_Germany_Hamburg_Harburg,Hamburg,395,32.916666666666664,757,98.75,22.534177215189874,0.0,0,False
WH_Germany_Munich_Maxvorstadt,Munich,Hat_H2_SpecialLine,H2_SpecialLine,4,424,1696,WH_Germany_Kassel_Hub,Kassel,1214,101.16666666666667,485,303.5,4.340197693574958,0.0,0,False
WH_Germany_Munich_Maxvorstadt,Munich,Jacket_J1_AllYear,J1_AllYear,15,542,8130,WH_Germany_Berlin_Charlottenburg,Berlin,1556,129.66666666666666,461,389.0,3.166452442159383,0.0,0,False
WH_Germany_Munich_Maxvorstadt,Munich,Jacket_J1_AllYear,J1_AllYear,15,542,8130,WH_Germany_Frankfurt_FFM-Süd,Frankfurt,1731,144.25,820,432.75,5.52686308492201,0.0,0,False
WH_Germany_Munich_Maxvorstadt,Munich,Jacket_J1_AllYear,J1_AllYear,15,542,8130,WH_Germany_Hamburg_Harburg,Hamburg,1751,145.91666666666666,637,437.75,4.648201027984009,0.0,0,False
WH_Germany_Munich_Maxvorstadt,Munich,Jacket_J1_AllYear,J1_AllYear,15,542,8130,WH_Germany_Kassel_Hub,Kassel,1028,85.66666666666667,543,257.0,5.650778210116731,0.0,0,False
