Site Code,Site City,Product Code,Product group,Product variant,Annual_Demand,Average_Monthly_Demand,Average_Inventory,Target_Inventory,Excess_Inventory,MOS,Reduction_Potential_EUR,Share_of_Active_Excess_pct,Potential_Annual_Capital_Cost_Saving_EUR,Recommended_Measure
WH_Germany_Munich_Maxvorstadt,Munich,Shoes_S2_SneakerOutdoor,Shoes,S2_SneakerOutdoor,1771,147.58333333333334,771.1666666666666,442.75,328.41666666666663,5.225296442687746,11494.583333333332,8.2666495662159,1149.4583333333333,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Berlin_Charlottenburg,Berlin,Shoes_S3_Summer24,Shoes,S3_Summer24,1496,124.66666666666667,717.8333333333334,374.0,343.83333333333337,5.758021390374331,10315.000000000002,7.418319377287885,1031.5000000000002,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Shoes_S1_SneakerIndoor,Shoes,S1_SneakerIndoor,2384,198.66666666666666,804.0,596.0,208.0,4.046979865771812,8320.0,5.98355959467137,832.0,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Munich_Maxvorstadt,Munich,Pants_P1_Performance,Pants,P1_Performance,1423,118.58333333333333,813.3333333333334,355.75,457.58333333333337,6.85874912157414,5491.0,3.949005496915925,549.1,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Jacket_J1_AllYear,Jacket,J1_AllYear,1731,144.25,797.25,432.75,364.5,5.52686308492201,5467.5,3.932104817772322,546.75,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Pants_P3_Beach,Pants,P3_Beach,1096,91.33333333333333,905.1666666666666,274.0,631.1666666666666,9.91058394160584,5049.333333333333,3.6313686193943076,504.93333333333334,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Berlin_Charlottenburg,Berlin,Pants_P2_Casual,Pants,P2_Casual,1287,107.25,744.6666666666666,321.75,422.91666666666663,6.943278943278943,4229.166666666666,3.041522930985297,422.91666666666663,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Pants_P2_Casual,Pants,P2_Casual,1317,109.75,739.5833333333334,329.25,410.33333333333337,6.738800303720577,4103.333333333334,2.951026386634799,410.3333333333334,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Jacket_J3_WorldCup24,Jacket,J3_WorldCup24,817,68.08333333333333,610.1666666666666,204.25,405.91666666666663,8.962056303549572,4059.166666666666,2.9192626988826365,405.91666666666663,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Shirt_TS1_Casual,Shirt,TS1_Casual,1829,152.41666666666666,840.3333333333334,457.25,383.08333333333337,5.513395297977037,3830.833333333334,2.755050426352594,383.0833333333334,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Pants_P2_Casual,Pants,P2_Casual,1390,115.83333333333333,728.75,347.5,381.25,6.2913669064748206,3812.5,2.74186549936113,381.25,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Berlin_Charlottenburg,Berlin,Jacket_J2_Winter,Jacket,J2_Winter,1296,108.0,641.1666666666666,324.0,317.16666666666663,5.936728395061728,3805.9999999999995,2.7371908434277925,380.59999999999997,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Berlin_Charlottenburg,Berlin,Shoes_S2_SneakerOutdoor,Shoes,S2_SneakerOutdoor,1487,123.91666666666667,478.5,371.75,106.75,3.8614660390047075,3736.25,2.6870281893739074,373.625,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Jacket_J1_AllYear,Jacket,J1_AllYear,1751,145.91666666666666,678.25,437.75,240.5,4.648201027984009,3607.5,2.59443404300204,360.75,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Munich_Maxvorstadt,Munich,Jacket_J2_Winter,Jacket,J2_Winter,1462,121.83333333333333,665.25,365.5,299.75,5.460328317373461,3597.0,2.5868826757251107,359.70000000000005,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Kassel_Hub,Kassel,Shoes_S1_SneakerIndoor,Shoes,S1_SneakerIndoor,1223,101.91666666666667,392.9166666666667,305.75,87.16666666666669,3.855273916598528,3486.6666666666674,2.5075333878310317,348.66666666666674,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Kassel_Hub,Kassel,Jacket_J1_AllYear,Jacket,J1_AllYear,1028,85.66666666666667,484.0833333333333,257.0,227.08333333333331,5.650778210116731,3406.2499999999995,2.4496995035275666,340.625,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Munich_Maxvorstadt,Munich,Shirt_TS1_Casual,Shirt,TS1_Casual,1261,105.08333333333333,636.8333333333334,315.25,321.58333333333337,6.060269627279937,3215.833333333334,2.312756057275323,321.5833333333334,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Shoes_S2_SneakerOutdoor,Shoes,S2_SneakerOutdoor,2962,246.83333333333334,829.5833333333334,740.5,89.08333333333337,3.3609047940580687,3117.916666666668,2.2423365608436443,311.7916666666668,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Kassel_Hub,Kassel,Shoes_S2_SneakerOutdoor,Shoes,S2_SneakerOutdoor,1053,87.75,346.4166666666667,263.25,83.16666666666669,3.947768281101615,2910.833333333334,2.0934068173264326,291.0833333333334,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Berlin_Charlottenburg,Berlin,Shirt_TS1_Casual,Shirt,TS1_Casual,1960,163.33333333333334,776.5,490.0,286.5,4.754081632653061,2865.0,2.060444499847774,286.5,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Munich_Maxvorstadt,Munich,Pants_P2_Casual,Pants,P2_Casual,1011,84.25,533.6666666666666,252.75,280.91666666666663,6.3343224530168145,2809.166666666666,2.020290404010135,280.91666666666663,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Pants_P3_Beach,Pants,P3_Beach,1037,86.41666666666667,582.5,259.25,323.25,6.74059787849566,2586.0,1.8597938836322314,258.6,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Hat_H2_SpecialLine,Hat,H2_SpecialLine,395,32.916666666666664,741.75,98.75,643.0,22.534177215189874,2572.0,1.8497253939296594,257.2,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Jacket_J3_WorldCup24,Jacket,J3_WorldCup24,811,67.58333333333333,455.1666666666667,202.75,252.41666666666669,6.734895191122073,2524.166666666667,1.8153247207792051,252.4166666666667,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Shirt_TS2_LongSleeve,Shirt,TS2_LongSleeve,1160,96.66666666666667,603.0,290.0,313.0,6.2379310344827585,2504.0,1.8008213010885954,250.4,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Berlin_Charlottenburg,Berlin,Jacket_J3_WorldCup24,Jacket,J3_WorldCup24,1510,125.83333333333333,613.0,377.5,235.5,4.871523178807947,2355.0,1.693663803539793,235.5,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Shirt_TS3_Luxury,Shirt,TS3_Luxury,1121,93.41666666666667,632.5,280.25,352.25,6.770740410347903,2113.5,1.5199823561704258,211.35000000000002,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Kassel_Hub,Kassel,Pants_P2_Casual,Pants,P2_Casual,864,72.0,426.5833333333333,216.0,210.58333333333331,5.924768518518518,2105.833333333333,1.5144686594285408,210.58333333333331,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Kassel_Hub,Kassel,Jacket_J3_WorldCup24,Jacket,J3_WorldCup24,1959,163.25,692.5833333333334,489.75,202.83333333333337,4.242470648289944,2028.3333333333337,1.4587323771464462,202.83333333333337,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Shoes_S3_Summer24,Shoes,S3_Summer24,2968,247.33333333333334,799.8333333333334,742.0,57.83333333333337,3.2338274932614555,1735.0000000000011,1.247773545283033,173.5000000000001,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Hat_H1_CapWomen,Hat,H1_CapWomen,1869,155.75,756.9166666666666,467.25,289.66666666666663,4.859818084537185,1448.333333333333,1.041609232325605,144.83333333333331,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Shoes_S1_SneakerIndoor,Shoes,S1_SneakerIndoor,1514,126.16666666666667,411.3333333333333,378.5,32.833333333333314,3.260237780713342,1313.3333333333326,0.9445202244793746,131.33333333333326,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Berlin_Charlottenburg,Berlin,Shoes_S1_SneakerIndoor,Shoes,S1_SneakerIndoor,1467,122.25,398.1666666666667,366.75,31.416666666666686,3.2569870483980914,1256.6666666666674,0.9037668137784888,125.66666666666674,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Munich_Maxvorstadt,Munich,Shirt_TS3_Luxury,Shirt,TS3_Luxury,1264,105.33333333333333,519.8333333333334,316.0,203.83333333333337,4.935126582278482,1223.0000000000002,0.8795544933032559,122.30000000000003,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Pants_P1_Performance,Pants,P1_Performance,1230,102.5,404.5,307.5,97.0,3.946341463414634,1164.0,0.8371230009852735,116.4,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Berlin_Charlottenburg,Berlin,Hat_H2_SpecialLine,Hat,H2_SpecialLine,1104,92.0,566.75,276.0,290.75,6.1603260869565215,1163.0,0.8364038231493756,116.30000000000001,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Kassel_Hub,Kassel,Hat_H3_CapMen,Hat,H3_CapMen,448,37.333333333333336,442.6666666666667,112.0,330.6666666666667,11.857142857142858,992.0,0.7134244132108173,99.2,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Hat_H3_CapMen,Hat,H3_CapMen,1036,86.33333333333333,555.1666666666666,259.0,296.16666666666663,6.43050193050193,888.4999999999999,0.6389895071953742,88.85,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Hat_H1_CapWomen,Hat,H1_CapWomen,693,57.75,337.5,173.25,164.25,5.8441558441558445,821.25,0.5906247977312336,82.125,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Shoes_S2_SneakerOutdoor,Shoes,S2_SneakerOutdoor,2122,176.83333333333334,553.3333333333334,530.5,22.83333333333337,3.1291234684260134,799.166666666668,0.5747429538551537,79.9166666666668,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Hat_H2_SpecialLine,Hat,H2_SpecialLine,667,55.583333333333336,337.5,166.75,170.75,6.071964017991005,683.0,0.4911984619183349,68.3,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Berlin_Charlottenburg,Berlin,Hat_H1_CapWomen,Hat,H1_CapWomen,1311,109.25,456.3333333333333,327.75,128.58333333333331,4.176964149504195,642.9166666666665,0.46237141699608986,64.29166666666666,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Shirt_TS3_Luxury,Shirt,TS3_Luxury,1703,141.91666666666666,528.6666666666666,425.75,102.91666666666663,3.7251908396946565,617.4999999999998,0.4440923136670156,61.74999999999998,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Kassel_Hub,Kassel,Hat_H1_CapWomen,Hat,H1_CapWomen,1241,103.41666666666667,429.0,310.25,118.75,4.148267526188557,593.75,0.4270118400644383,59.375,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Kassel_Hub,Kassel,Hat_H2_SpecialLine,Hat,H2_SpecialLine,1214,101.16666666666667,439.0833333333333,303.5,135.58333333333331,4.340197693574958,542.3333333333333,0.390034113002016,54.23333333333333,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Munich_Maxvorstadt,Munich,Hat_H3_CapMen,Hat,H3_CapMen,812,67.66666666666667,368.5,203.0,165.5,5.445812807881773,496.5,0.35707179552335766,49.650000000000006,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Frankfurt_FFM-Süd,Frankfurt,Hat_H3_CapMen,Hat,H3_CapMen,820,68.33333333333333,364.3333333333333,205.0,159.33333333333331,5.331707317073171,477.99999999999994,0.3437670055592446,47.8,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Hamburg_Harburg,Hamburg,Pants_P1_Performance,Pants,P1_Performance,1490,124.16666666666667,401.3333333333333,372.5,28.833333333333314,3.2322147651006707,345.9999999999998,0.24883553122070828,34.59999999999998,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
WH_Germany_Berlin_Charlottenburg,Berlin,Jacket_J1_AllYear,Jacket,J1_AllYear,1556,129.66666666666666,410.5833333333333,389.0,21.583333333333314,3.166452442159383,323.7499999999997,0.23283382437197772,32.37499999999997,Reduce or temporarily pause replenishment until average inventory approaches the modeled target; review demand before future replenishment
